date,clothing,coffee,cosmetics,dessert,education,food,fuel,health,market & shopping,money_transfer,other,subscriptions,transportation,travel,total_spent,log_total_spent,phase,weekday,is_weekend
2024-09-23,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,5.303304908059076,Luteal,0,0
2024-09-24,0.0,90.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,5.673323267171493,Menstruation,1,0
2024-09-25,532.14,85.0,623.75,0.0,1000.0,0.0,0.0,0.0,0.0,878.8599999999999,0.0,0.0,100.0,0.0,3219.75,8.077369530671634,Menstruation,2,0
2024-09-26,0.0,0.0,0.0,0.0,235.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,6.46302945692067,Menstruation,3,0
2024-09-27,354.98,160.0,0.0,0.0,0.0,600.0,0.0,0.0,70.0,20000.0,390.0,0.0,0.0,0.0,21574.98,9.97933593786326,Menstruation,4,0
2024-09-28,186.98,340.0,0.0,0.0,0.0,180.0,0.0,0.0,51.0,255.43,282.5,0.0,0.0,0.0,1295.91,7.167739791006702,Menstruation,5,1
2024-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.43,0.0,0.0,0.0,0.0,114.43,4.748664285626821,Follicular,6,1
2024-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162603.98,0.0,0.0,0.0,162603.98,11.999079102933115,Luteal,0,0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.43,0.0,0.0,0.0,0.0,1004.43,6.913170589683406,Follicular,1,0
2024-10-03,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,4.976733742420574,Follicular,3,0
2024-10-04,0.0,0.0,0.0,0.0,65.22,25.0,0.0,0.0,0.0,18513.29,132000.0,0.0,90.0,0.0,150693.51,11.923009953957635,Luteal,4,0
2024-10-06,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,1250.2,1263.29,0.0,0.0,434.55,0.0,3168.04,8.061183981889581,Luteal,6,1
2024-10-07,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,4.382026634673881,Follicular,0,0
2024-10-08,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,1435.29,0.0,59.99,100.0,5331.0,7426.28,8.912914987241411,Ovulation,1,0
2024-10-09,479.9,0.0,0.0,285.0,0.0,224.0,0.0,0.0,0.0,0.0,133.95,0.0,0.0,0.0,1122.85,7.024515569590836,Ovulation,2,0
2024-10-10,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,18.0,0.0,255.0,0.0,470.0,6.154858094016418,Luteal,3,0
2024-10-11,631.52,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.52,6.540337118510875,Luteal,4,0
2024-10-12,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,5.723585101952381,Luteal,5,1
2024-10-15,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,4.51085950651685,Luteal,1,0
2024-10-16,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,6.2166061010848646,Luteal,2,0
2024-10-17,0.0,0.0,0.0,310.0,0.0,118.0,0.0,0.0,21.0,0.0,681.87,0.0,50.0,0.0,1180.87,7.074853208837935,Luteal,3,0
2024-10-18,0.0,195.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,102.0,0.0,20.0,0.0,1037.0,6.945051063725834,Luteal,4,0
2024-10-19,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,298.86,0.0,0.0,0.0,0.0,798.86,6.684436712353641,Luteal,5,1
2024-10-20,0.0,0.0,0.0,0.0,95.0,121.5,0.0,0.0,2390.0,74.43,0.0,0.0,4384.18,0.0,7065.110000000001,8.863065395304286,Luteal,6,1
2024-10-21,0.0,150.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,5.4638318050256105,Luteal,0,0
2024-10-22,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,196.0,5.2832037287379885,Luteal,1,0
2024-10-23,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,5.723585101952381,Luteal,2,0
2024-10-24,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,6.2166061010848646,Luteal,3,0
2024-10-25,0.0,0.0,0.0,0.0,0.0,435.0,77.0,0.0,876.0,0.0,0.0,0.0,40.0,0.0,1428.0,7.264730177929867,Luteal,4,0
2024-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99,0.0,0.0,59.99,4.110709916308365,Luteal,5,1
2024-10-29,0.0,250.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,252.11,0.11,0.0,0.0,0.0,1502.22,7.315364752960186,Menstruation,1,0
2024-10-30,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,361.0,5.891644211825771,Menstruation,2,0
2024-10-31,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,2338.91,0.0,2486.91,7.8191982795713475,Menstruation,3,0
2024-11-01,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,1004.43,11.0,0.0,0.0,0.0,1185.4299999999998,7.078704077085276,Menstruation,4,0
2024-11-02,0.0,110.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,388.86,77.0,0.0,0.0,0.0,635.86,6.456549851197171,Follicular,5,1
2024-11-03,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,421.0,6.045005314036012,Follicular,6,1
2024-11-04,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,5.583496308781699,Follicular,0,0
